measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,trafficID
RWS01_MONIBAS_0011hrl0139ra,A1 westBound naar Amsterdam na afrit 4 ri afrit 3 thv hmp 14.0,52.3202,5.08733,negative,A1,5.11,A,7011,205,P1.3,Afrit,31
RWS01_MONIBAS_0011hrl0142ra,A1 westBound naar Amsterdam op knppnt Muiderberg ri afrit 4 thv hmp 14.3,52.3191,5.09122,negative,A1,5.11,A,7015,2010,P1.2,Knooppunt (triangle),32
RWS01_MONIBAS_0101hrl0013ra,A10 anticlockwise naar Coenplein na afrit 17 ri afrit 18 thv hmp 36.1,52.4221,4.90477,negative,A10,5.11,A,7180,0,P1.3,Afrit,33
RWS01_MONIBAS_0101hrl0017ra,A10 anticlockwise naar Coenplein na afrit 17 ri afrit 18 thv hmp 35.7,52.4197,4.90999,negative,A10,5.11,A,7180,220,P1.3,Afrit,34
GEO02_R_RWSTI4246,A10 naar Coenplein na afrit 16 ri afrit 17 thv hmp 2.4,52.4168,4.91778,negative,A10,5.11,A,7181,1100,P3.2,Brug,35
RWS01_MONIBAS_0101hrl0022ra,A10 anticlockwise naar Coenplein na afrit 16 ri afrit 17 thv hmp 2.2,52.4176,4.91538,negative,A10,5.11,A,7181,1285,P3.2,Brug,36
RWS01_MONIBAS_0101hrl0027ra,A10 anticlockwise naar Coenplein na afrit 16 ri afrit 17 thv hmp 2.8,52.4149,4.92197,negative,A10,5.11,A,7181,745,P3.2,Brug,37
RWS01_MONIBAS_0101hrl0033ra,A10 anticlockwise naar Coenplein na afrit 16 ri afrit 17 thv hmp 3.4,52.4115,4.92882,negative,A10,5.11,A,7181,150,P3.2,Brug,38
RWS01_MONIBAS_0101hrl0042ra,A10 anticlockwise naar Coenplein na afrit 16 ri afrit 17 thv hmp 4.2,52.4074,4.93925,negative,A10,5.11,A,7182,600,P1.3,Afrit,39
RWS01_MONIBAS_0101hrl0047ra,A10 anticlockwise naar Coenplein na afrit 16 ri afrit 17 thv hmp 4.8,52.4051,4.94689,negative,A10,5.11,A,7182,15,P1.3,Afrit,40
RWS01_MONIBAS_0101hrl0050ra,A10 anticlockwise naar Volendam na afrit 15 ri afrit 16 thv hmp 5.0,52.4038,4.94981,negative,A10,5.11,A,7183,2375,P1.3,Afrit,41
RWS01_MONIBAS_0101hrl0056ra,A10 anticlockwise naar Volendam na afrit 15 ri afrit 16 thv hmp 5.6,52.4002,4.95657,negative,A10,5.11,A,7183,1760,P1.3,Afrit,42
RWS01_MONIBAS_0101hrl0062ra,A10 anticlockwise naar Volendam na afrit 15 ri afrit 16 thv hmp 6.2,52.3959,4.9619,negative,A10,5.11,A,7183,1160,P1.3,Afrit,43
