measurementSiteReference,index,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,specificLocation,alertCDirectionCoded,speed_id
GEO02_PNHTI507r,36C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,129
GEO02_PNHTI507r,7C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,130
GEO02_PNHTI507r,8C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,131
GEO02_PNHTI507r,9C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,132
GEO02_PNHTI508,10C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,133
GEO02_PNHTI508,11C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,134
GEO02_PNHTI508,12C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,135
GEO02_PNHTI508,19C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,136
GEO02_PNHTI508,20C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,137
GEO02_PNHTI508,21C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,138
GEO02_PNHTI508,22C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,139
GEO02_PNHTI508,23C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,140
GEO02_PNHTI508,24C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,141
GEO02_PNHTI508,7C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,142
