measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,trafficID
RWS01_MONIBAS_0091hrr0384ra,A9 northBound naar Alkmaar op knppnt Raasdorp ri afrit Haarlem-Zuid thv hmp 38.5,52.3545,4.74463,positive,A9,5.11,A,10624,666,P1.1,Knooppunt,207
RWS01_MONIBAS_0091hrr0388ra,A9 northBound naar Alkmaar op knppnt Raasdorp ri afrit Haarlem-Zuid thv hmp 38.8,52.3565,4.74094,positive,A9,5.11,A,10624,1000,P1.1,Knooppunt,208
RWS01_MONIBAS_0091hrr0391ra,A9 northBound naar Alkmaar op knppnt Raasdorp ri afrit Haarlem-Zuid thv hmp 39.1,52.3584,4.7374,positive,A9,5.11,A,10624,1321,P1.1,Knooppunt,209
RWS01_MONIBAS_0091hrr0394ra,A9 northBound naar Alkmaar op knppnt Raasdorp ri afrit Haarlem-Zuid thv hmp 39.4,52.3601,4.7342,positive,A9,5.11,A,10624,1610,P1.1,Knooppunt,210
RWS01_MONIBAS_0091hrr0396ra,A9 northBound naar Alkmaar op knppnt Raasdorp ri afrit Haarlem-Zuid thv hmp 39.6,52.3615,4.7316,positive,A9,5.11,A,10624,1846,P1.1,Knooppunt,211
RWS01_MONIBAS_0091hrr0399ra,A9 northBound naar Alkmaar op knppnt Raasdorp ri afrit Haarlem-Zuid thv hmp 39.9,52.363,4.7288,positive,A9,5.11,A,10624,2100,P1.1,Knooppunt,212
RWS01_MONIBAS_0091hrr0401ra,A9 northBound naar Alkmaar op knppnt Raasdorp ri afrit Haarlem-Zuid thv hmp 40.2,52.3645,4.72598,positive,A9,5.11,A,10624,2356,P1.1,Knooppunt,213
RWS01_MONIBAS_0091hrr0405ra,A9 northBound naar Alkmaar op knppnt Raasdorp ri afrit Haarlem-Zuid thv hmp 40.5,52.3667,4.72193,positive,A9,5.11,A,10624,2726,P1.1,Knooppunt,214
RWS01_MONIBAS_0091hrr0408ra,A9 northBound naar Alkmaar op knppnt Raasdorp ri afrit Haarlem-Zuid thv hmp 40.9,52.3689,4.71791,positive,A9,5.11,A,10624,3096,P1.1,Knooppunt,215
RWS01_MONIBAS_0091hrr0411ra,A9 northBound naar Alkmaar na afrit N205/A205 ri knppnt Rottepolderplein thv hmp 41.2,52.3704,4.71504,positive,A9,5.11,A,10583,155,P1.3,Afrit,216
RWS01_MONIBAS_0091hrr0414ra,A9 northBound naar Alkmaar na afrit N205/A205 ri knppnt Rottepolderplein thv hmp 41.4,52.3719,4.71232,positive,A9,5.11,A,10583,401,P1.3,Afrit,217
RWS01_MONIBAS_0091hrr0418ra,A9 northBound naar Alkmaar na afrit N205/A205 ri knppnt Rottepolderplein thv hmp 41.8,52.3749,4.70908,positive,A9,5.11,A,10583,810,P1.3,Afrit,218
RWS01_MONIBAS_0091hrr0421ra,A9 northBound naar Alkmaar na afrit N205/A205 ri knppnt Rottepolderplein thv hmp 42.1,52.3778,4.70863,positive,A9,5.11,A,10583,1135,P1.3,Afrit,219
RWS01_MONIBAS_0091hrr0423ra,A9 northBound naar Alkmaar na afrit N205/A205 ri knppnt Rottepolderplein thv hmp 42.3,52.3795,4.70834,positive,A9,5.11,A,10583,1333,P1.3,Afrit,220
RWS01_MONIBAS_0091hrr0427ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 42.8,52.3835,4.70771,positive,A9,5.11,A,10586,380,P1.1,Knooppunt,221
RWS01_MONIBAS_0091hrr0433ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 43.3,52.3883,4.70693,positive,A9,5.11,A,10586,912,P1.1,Knooppunt,222
RWS01_MONIBAS_0091hrr0437ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 43.7,52.3921,4.70636,positive,A9,5.11,A,10586,1335,P1.1,Knooppunt,223
RWS01_MONIBAS_0091hrr0439ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 43.9,52.3936,4.70608,positive,A9,5.11,A,10586,1510,P1.1,Knooppunt,224
RWS01_MONIBAS_0091hrr0443ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 44.3,52.3975,4.70543,positive,A9,5.11,A,10586,1938,P1.1,Knooppunt,225
RWS01_MONIBAS_0091hrr0448ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 44.8,52.4021,4.70468,positive,A9,5.11,A,10586,2449,P1.1,Knooppunt,226
RWS01_MONIBAS_0091hrr0453ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 45.3,52.406,4.7032,positive,A9,5.11,A,10586,2900,P1.1,Knooppunt,227
RWS01_MONIBAS_0091hrr0456ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 45.6,52.4086,4.70184,positive,A9,5.11,A,10586,3200,P1.1,Knooppunt,228
RWS01_MONIBAS_0091hrr0458ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 45.9,52.4111,4.70049,positive,A9,5.11,A,10586,3499,P1.1,Knooppunt,229
RWS01_MONIBAS_0091hrr0462ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 46.2,52.4137,4.69911,positive,A9,5.11,A,10586,3800,P1.1,Knooppunt,230
RWS01_MONIBAS_0091hrr0467ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 46.7,52.4178,4.69617,positive,A9,5.11,A,10586,4300,P1.1,Knooppunt,231
RWS01_MONIBAS_0091hrr0469ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 46.9,52.4193,4.69454,positive,A9,5.11,A,10586,4500,P1.1,Knooppunt,232
RWS01_MONIBAS_0091hrr0473ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 47.3,52.4221,4.69039,positive,A9,5.11,A,10589,321,P3.2,Brug,233
RWS01_MONIBAS_0091hrr0476ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 47.6,52.4239,4.68716,positive,A9,5.11,A,10589,615,P3.2,Brug,234
RWS01_MONIBAS_0091hrr0478ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 47.9,52.4256,4.68419,positive,A9,5.11,A,10589,897,P3.2,Brug,235
RWS01_MONIBAS_0091hrr0481ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 48.2,52.4278,4.6814,positive,A9,5.11,A,10589,1199,P3.2,Brug,236
RWS01_MONIBAS_0091hrr0484ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 48.5,52.43,4.67896,positive,A9,5.11,A,10589,1498,P3.2,Brug,237
RWS01_MONIBAS_0091hrr0488ra,A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 48.9,52.4329,4.67596,positive,A9,5.11,A,10589,1878,P3.2,Brug,238
RWS01_MONIBAS_0091hrr0493ra,A9 northBound naar Alkmaar op knppnt Velsen ri afrit 8 thv hmp 49.3,52.436,4.67263,positive,A9,5.11,A,10591,0,P1.2,Knooppunt (triangle),239
RWS01_MONIBAS_0091hrr0496ra,A9 northBound naar Alkmaar op knppnt Velsen ri afrit 8 thv hmp 49.7,52.4388,4.67001,positive,A9,5.11,A,10591,360,P1.2,Knooppunt (triangle),240
RWS01_MONIBAS_0091hrr0500ra,A9 northBound naar Alkmaar op knppnt Velsen ri afrit 8 thv hmp 50.1,52.4422,4.66797,positive,A9,5.11,A,10591,760,P1.2,Knooppunt (triangle),241
RWS01_MONIBAS_0091hrr0504ra,A9 northBound naar Alkmaar op knppnt Velsen ri afrit 8 thv hmp 50.4,52.4453,4.66709,positive,A9,5.11,A,10591,1110,P1.2,Knooppunt (triangle),242
RWS01_MONIBAS_0091hrr0507ra,A9 northBound naar Alkmaar op knppnt Velsen ri afrit 8 thv hmp 50.8,52.4484,4.66718,positive,A9,5.11,A,10591,1460,P1.2,Knooppunt (triangle),243
RWS01_MONIBAS_0091hrr0509ra,A9 northBound naar Alkmaar op knppnt Velsen ri afrit 8 thv hmp 50.9,52.4498,4.66746,positive,A9,5.11,A,10591,1610,P1.2,Knooppunt (triangle),244
RWS01_MONIBAS_0091hrr0512ra,A9 northBound naar Alkmaar op knppnt Velsen ri afrit 8 thv hmp 51.2,52.4524,4.66845,positive,A9,5.11,A,10591,1910,P1.2,Knooppunt (triangle),245
RWS01_MONIBAS_0101hrr0019ra,A10 clockwise naar Volendam na afrit 17 ri afrit 16 thv hmp 1.9,52.4187,4.91172,positive,A10,5.11,A,7180,340,P1.3,Afrit,246
RWS01_MONIBAS_0101hrr0025ra,A10 clockwise naar Volendam na afrit 17 ri afrit 16 thv hmp 2.5,52.4159,4.91924,positive,A10,5.11,A,7180,940,P1.3,Afrit,247
RWS01_MONIBAS_0101hrr0032ra,A10 clockwise naar Volendam na afrit 17 ri afrit 16 thv hmp 3.2,52.4122,4.92699,positive,A10,5.11,A,7180,1605,P1.3,Afrit,248
RWS01_MONIBAS_0101hrr0037ra,A10 clockwise naar Volendam na afrit 16 ri afrit 15 thv hmp 3.7,52.4094,4.93263,positive,A10,5.11,A,7182,100,P1.3,Afrit,249
RWS01_MONIBAS_0101hrr0042ra,A10 clockwise naar Volendam na afrit 16 ri afrit 15 thv hmp 4.2,52.4073,4.93909,positive,A10,5.11,A,7182,600,P1.3,Afrit,250
RWS01_MONIBAS_0101hrr0045ra,A10 clockwise naar Volendam na afrit 16 ri afrit 15 thv hmp 4.5,52.4061,4.94349,positive,A10,5.11,A,7182,930,P1.3,Afrit,251
RWS01_MONIBAS_0101hrr0051ra,A10 clockwise naar Volendam na afrit 16 ri afrit 15 thv hmp 5.2,52.403,4.95113,positive,A10,5.11,A,7182,1550,P1.3,Afrit,252
RWS01_MONIBAS_0101hrr0057ra,A10 clockwise naar Volendam na afrit 16 ri afrit 15 thv hmp 5.8,52.3993,4.9576,positive,A10,5.11,A,7182,2160,P1.3,Afrit,253
RWS01_MONIBAS_0101hrr0063ra,A10 clockwise naar Volendam na afrit 16 ri afrit 15 thv hmp 6.4,52.3948,4.96259,positive,A10,5.11,A,7182,2760,P1.3,Afrit,254
RWS01_MONIBAS_0101hrr0067ra,A10 clockwise naar Watergraafsmeer na afrit 15 ri afrit 14 thv hmp 6.8,52.3914,4.96546,positive,A10,5.11,A,7183,285,P1.3,Afrit,255
RWS01_MONIBAS_0101hrr0069ra,A10 clockwise naar Watergraafsmeer na afrit 15 ri afrit 14 thv hmp 7.0,52.3901,4.96667,positive,A10,5.11,A,7183,460,P1.3,Afrit,256
RWS01_MONIBAS_0101hrr0072ra,A10 clockwise naar Watergraafsmeer na afrit 15 ri afrit 14 thv hmp 7.2,52.3881,4.96835,positive,A10,5.11,A,7183,710,P1.3,Afrit,257
RWS01_MONIBAS_0101hrr0074ra,A10 clockwise naar Watergraafsmeer na afrit 15 ri afrit 14 thv hmp 7.5,52.3861,4.96999,positive,A10,5.11,A,7183,960,P1.3,Afrit,258
RWS01_MONIBAS_0101hrr0078ra,A10 clockwise naar Watergraafsmeer na afrit 15 ri afrit 14 thv hmp 7.8,52.3833,4.97188,positive,A10,5.11,A,7183,1300,P1.3,Afrit,259
RWS01_MONIBAS_0101hrr0080ra,A10 clockwise naar Watergraafsmeer na afrit 15 ri afrit 14 thv hmp 8.0,52.3813,4.97276,positive,A10,5.11,A,7183,1520,P1.3,Afrit,260
RWS01_MONIBAS_0101hrr0085ra,A10 clockwise naar Watergraafsmeer na afrit 15 ri afrit 14 thv hmp 8.5,52.3771,4.9739,positive,A10,5.11,A,7184,100,P3.1,Tunnel,261
RWS01_MONIBAS_0101hrr0086ra,A10 clockwise naar Watergraafsmeer na afrit 15 ri afrit 14 thv hmp 8.6,52.3762,4.974,positive,A10,5.11,A,7184,200,P3.1,Tunnel,262
RWS01_MONIBAS_0101hrr0087ra,A10 clockwise naar Watergraafsmeer na afrit 15 ri afrit 14 thv hmp 8.8,52.3748,4.97405,positive,A10,5.11,A,7184,360,P3.1,Tunnel,263
RWS01_MONIBAS_0101hrr0088ra,A10 clockwise naar Watergraafsmeer na afrit 15 ri afrit 14 thv hmp 8.9,52.3736,4.97401,positive,A10,5.11,A,7184,490,P3.1,Tunnel,264
RWS01_MONIBAS_0101hrr0090ra,A10 clockwise naar Watergraafsmeer na afrit 15 ri afrit 14 thv hmp 9.0,52.3724,4.97385,positive,A10,5.11,A,7184,620,P3.1,Tunnel,265
RWS01_MONIBAS_0101hrr0092ra,A10 clockwise naar Watergraafsmeer na afrit 15 ri afrit 14 thv hmp 9.2,52.3708,4.97343,positive,A10,5.11,A,7184,800,P3.1,Tunnel,266
