date,dataType,hour,dateID
2016-06-26,Flow,21,350
2016-06-26,Flow,22,351
2016-06-26,Flow,23,352
2016-06-27,Flow,00,353
2016-06-27,Flow,01,354
2016-06-27,Flow,02,355
2016-06-27,Flow,03,356
2016-06-27,Flow,04,357
2016-06-27,Flow,05,358
2016-06-27,Flow,06,359
2016-06-27,Flow,07,360
2016-06-27,Flow,08,361
2016-06-27,Flow,09,362
2016-06-27,Flow,10,363
2016-06-27,Flow,11,364
2016-06-27,Flow,12,365
2016-06-27,Flow,13,366
2016-06-27,Flow,14,367
2016-06-27,Flow,15,368
2016-06-27,Flow,16,369
2016-06-27,Flow,17,370
2016-06-27,Flow,18,371
2016-06-27,Flow,19,372
2016-06-27,Flow,20,373
2016-06-27,Flow,21,374
2016-06-27,Flow,22,375
2016-06-27,Flow,23,376
2016-06-28,Flow,00,377
2016-06-28,Flow,01,378
2016-06-28,Flow,02,379
2016-06-28,Flow,03,380
2016-06-28,Flow,04,381
2016-06-28,Flow,05,382
2016-06-28,Flow,06,383
2016-06-28,Flow,07,384
2016-06-28,Flow,08,385
2016-06-28,Flow,09,386
2016-06-28,Flow,10,387
2016-06-28,Flow,11,388
2016-06-28,Flow,12,389
2016-06-28,Flow,13,390
2016-06-28,Flow,14,391
2016-06-28,Flow,15,392
2016-06-28,Flow,16,393
2016-06-28,Flow,17,394
2016-06-28,Flow,18,395
2016-06-28,Flow,19,396
2016-06-28,Flow,20,397
2016-06-28,Flow,21,398
2016-06-28,Flow,22,399
2016-06-28,Flow,23,400
2016-06-29,Flow,00,401
2016-06-29,Flow,01,402
2016-06-29,Flow,02,403
2016-06-29,Flow,03,404
2016-06-29,Flow,04,405
2016-06-29,Flow,05,406
2016-06-29,Flow,06,407
2016-06-29,Flow,07,408
2016-06-29,Flow,08,409
2016-06-29,Flow,09,410
2016-06-29,Flow,10,411
2016-06-29,Flow,11,412
2016-06-29,Flow,12,413
2016-06-29,Flow,13,414
2016-06-29,Flow,14,415
2016-06-29,Flow,15,416
2016-06-29,Flow,16,417
2016-06-29,Flow,17,418
2016-06-29,Flow,18,419
2016-06-29,Flow,19,420
2016-06-29,Flow,20,421
2016-06-29,Flow,21,422
2016-06-29,Flow,22,423
2016-06-29,Flow,23,424
2016-06-30,Flow,00,425
2016-06-30,Flow,01,426
2016-06-30,Flow,02,427
2016-06-30,Flow,04,428
2016-06-30,Flow,05,429
2016-06-30,Flow,06,430
2016-06-30,Flow,07,431
2016-06-30,Flow,08,432
2016-06-30,Flow,09,433
2016-06-30,Flow,10,434
2016-06-30,Flow,11,435
2016-06-30,Flow,12,436
2016-06-30,Flow,13,437
2016-06-30,Flow,14,438
2016-06-30,Flow,15,439
2016-06-30,Flow,16,440
2016-06-30,Flow,17,441
2016-06-30,Flow,18,442
2016-06-30,Flow,19,443
2016-06-30,Flow,20,444
2016-06-30,Flow,21,445
2016-06-30,Flow,22,446
2016-06-30,Flow,23,447
2016-07-01,Flow,00,448
2016-07-01,Flow,01,449
2016-07-01,Flow,02,450
2016-07-01,Flow,04,451
2016-07-01,Flow,05,452
2016-07-01,Flow,06,453
2016-07-01,Flow,07,454
2016-07-01,Flow,08,455
2016-07-01,Flow,09,456
2016-07-01,Flow,10,457
2016-07-01,Flow,11,458
2016-07-01,Flow,12,459
2016-07-01,Flow,13,460
2016-07-01,Flow,14,461
2016-07-01,Flow,15,462
2016-07-01,Flow,16,463
2016-07-01,Flow,17,464
2016-07-01,Flow,18,465
2016-07-01,Flow,19,466
2016-07-01,Flow,20,467
2016-07-01,Flow,21,468
2016-07-01,Flow,22,469
2016-07-01,Flow,23,470
2016-07-02,Flow,00,471
2016-07-02,Flow,01,472
2016-07-02,Flow,02,473
2016-07-02,Flow,03,474
2016-07-02,Flow,04,475
2016-07-02,Flow,05,476
2016-07-02,Flow,06,477
2016-07-02,Flow,07,478
2016-07-02,Flow,08,479
2016-07-02,Flow,09,480
2016-07-02,Flow,10,481
2016-07-02,Flow,11,482
2016-07-02,Flow,12,483
2016-07-02,Flow,13,484
2016-07-02,Flow,14,485
2016-07-02,Flow,15,486
2016-07-02,Flow,16,487
2016-07-02,Flow,17,488
2016-07-02,Flow,18,489
2016-07-02,Flow,19,490
2016-07-02,Flow,20,491
2016-07-02,Flow,21,492
2016-07-02,Flow,22,493
2016-07-02,Flow,23,494
2016-07-03,Flow,00,495
2016-07-03,Flow,01,496
2016-07-03,Flow,02,497
2016-07-03,Flow,03,498
2016-07-03,Flow,04,499
2016-07-03,Flow,05,500
2016-07-03,Flow,06,501
2016-07-03,Flow,07,502
2016-07-03,Flow,08,503
2016-07-03,Flow,09,504
2016-07-03,Flow,10,505
2016-07-03,Flow,11,506
2016-07-03,Flow,12,507
2016-07-03,Flow,13,508
2016-07-03,Flow,14,509
2016-07-03,Flow,15,510
2016-07-03,Flow,16,511
2016-07-03,Flow,17,512
2016-07-03,Flow,18,513
2016-07-03,Flow,19,514
2016-07-03,Flow,20,515
2016-07-03,Flow,21,516
2016-07-03,Flow,22,517
2016-07-03,Flow,23,518
2016-07-09,Flow,11,519
2016-07-09,Flow,12,520
2016-07-09,Flow,13,521
2016-07-09,Flow,14,522
2016-07-09,Flow,15,523
2016-07-09,Flow,16,524
2016-07-09,Flow,17,525
2016-07-09,Flow,18,526
2016-07-09,Flow,19,527
2016-07-09,Flow,20,528
2016-07-09,Flow,21,529
2016-07-09,Flow,22,530
2016-07-09,Flow,23,531
2016-07-10,Flow,00,532
2016-07-10,Flow,01,533
2016-07-10,Flow,02,534
2016-07-10,Flow,03,535
2016-07-10,Flow,04,536
2016-07-10,Flow,05,537
2016-07-10,Flow,06,538
2016-07-10,Flow,07,539
