measurementSiteReference,generatedSiteName,carriageway,startLocatieForDisplayLat,startLocatieForDisplayLong,eindLocatieForDisplayLat,eindLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,measurementSiteNumberOfLanes,primaryLocation_specificLocation,primaryLocation_offsetDistance,secondaryLocation_specificLocation,secondaryLocation_offsetDistance,ROADNUMBER_PRIM,lengthAffected
GEO02_PNHTR816,Nog niet gegenereerd,,52.29,4.7863,52.311,4.8141,negative,N232,5.11,A,11479,730,P1.12,Aansluiting,1,11479,730,22051,1010,N232,3150
GEO02_PNHTR817,Nog niet gegenereerd,,52.311,4.8141,52.29,4.7863,positive,N232,5.11,A,22051,1010,P1.3,Afrit,1,22051,1010,11479,730,N232,3150
GEO02_PNHTR818,Nog niet gegenereerd,,52.2966,4.70968,52.2805,4.72485,positive,N201,5.11,A,22026,600,P1.11,Kruising,1,22026,600,10717,2680,N201,2600
GEO02_PNHTR819,Nog niet gegenereerd,,52.2805,4.72485,52.2966,4.70968,negative,N201,5.11,A,10717,2680,P1.11,Kruising,1,10717,2680,22026,720,N201,2600
GEO02_PNHTR820,Nog niet gegenereerd,,52.2805,4.72485,52.2848,4.75383,positive,N201,5.11,A,22028,180,P1.3,Afrit,1,22028,180,22025,980,N201,2580
GEO02_PNHTR827,Nog niet gegenereerd,,52.2848,4.75383,52.2805,4.72485,negative,N201,5.11,A,22025,1150,P1.11,Kruising,1,22025,1150,22028,200,N201,2560
GEO02_PNHTR901,Nog niet gegenereerd,,52.3864,4.66563,52.3841,4.70085,positive,h582,5.11,A,25591,412,P1.12,Aansluiting,2,8158,1160,25589,25,A200,2710
GEO02_PNHTR902,Nog niet gegenereerd,,52.3841,4.70085,52.3864,4.66563,negative,A200,5.11,A,8155,450,P1.1,Knooppunt,4,25589,25,8158,1160,h582,2710
GEO02_RVTTR05,Nog niet gegenereerd,,52.465,4.76741,52.436,4.72572,negative,N246,5.11,A,11821,0,P3.37,Bebouwde kom,2,11821,0,11824,0,N246,4800
GEO02_RVTTR05r,Nog niet gegenereerd,,52.436,4.72572,52.465,4.76741,positive,N246,5.11,A,11824,0,P1.12,Aansluiting,2,11824,0,11821,0,N246,4800
GEO02_RVTTR06,Nog niet gegenereerd,,52.436,4.72572,52.4741,4.67281,negative,N246,5.11,A,22158,0,P1.12,Aansluiting,2,22158,0,11821,0,N246,6400
GEO02_RVTTR06r,Nog niet gegenereerd,,52.4741,4.67281,52.436,4.72572,positive,N246,5.11,A,11821,0,P1.11,Kruising,2,11821,0,22158,0,N246,6400
GEO02_RVTTR54,Nog niet gegenereerd,,52.4558,4.66809,52.4308,4.72483,positive,N202,5.11,A,10783,0,P1.3,Afrit,2,10783,0,10780,1120,N202,4900
GEO02_RVTTR54r,Nog niet gegenereerd,,52.4308,4.72483,52.4558,4.66809,negative,N202,5.11,A,10780,1120,P3.45,Veer,2,10780,1120,10783,0,N202,4900
GEO02_RVTTR55,Nog niet gegenereerd,,52.4308,4.72483,52.3987,4.77116,positive,N202,5.11,A,21963,0,P3.45,Veer,2,21963,0,10783,0,N202,5900
GEO02_RVTTR55r,Nog niet gegenereerd,,52.3987,4.77116,52.4308,4.72483,negative,N202,5.11,A,10783,0,P1.11,Kruising,2,10783,0,21963,0,N202,5900
GEO02_RVTTR56,Nog niet gegenereerd,,52.3987,4.77116,52.3942,4.80247,positive,N202,5.11,A,21964,0,P1.11,Kruising,2,25474,0,21963,0,s102,2400
GEO02_RVTTR56r,Nog niet gegenereerd,,52.3942,4.80247,52.3987,4.77116,negative,s102,5.11,A,25473,0,P1.3,Afrit,2,21963,0,25474,0,N202,2400
GEO02_Z_RWSTRN277,Nog niet gegenereerd,,52.385,4.84326,52.3848,4.83938,negative,N200,5.11,A,8166,360,P1.3,Afrit,1,8166,360,8167,0,N200,260
GEO02_Z_RWSTRN278,Nog niet gegenereerd,,52.3849,4.84087,52.3846,4.84361,positive,N200,5.11,A,8167,50,P1.11,Kruising,1,8167,50,8166,460,N200,180
GEO02_Z_RWSTRN279,Nog niet gegenereerd,,52.3848,4.83938,52.3847,4.83353,negative,N200,5.11,A,8166,0,P1.3,Afrit,1,8166,0,8167,80,N200,400
GEO02_Z_RWSTRN280,Nog niet gegenereerd,,52.3848,4.83559,52.3849,4.84087,positive,N200,5.11,A,8167,285,P1.11,Kruising,1,8167,285,8166,100,N200,370
GEO02_Z_RWSTRN281,Nog niet gegenereerd,,52.3847,4.83353,52.3846,4.81804,negative,N200,5.11,A,8164,1030,P1.11,Kruising,1,8164,1030,8166,20,N200,1050
GEO02_Z_RWSTRN282,Nog niet gegenereerd,,52.3843,4.82017,52.3848,4.83559,positive,N200,5.11,A,8167,640,P1.11,Kruising,1,8167,640,8165,50,N200,1050
GEO02_Z_RWSTRN283,Nog niet gegenereerd,,52.3846,4.81804,52.384,4.75374,negative,N200,5.11,A,8163,0,P1.11,Kruising,1,8163,0,8165,100,N200,4375
GEO02_Z_RWSTRN284,Nog niet gegenereerd,,52.3838,4.75552,52.3843,4.82017,positive,N200,5.11,A,8166,950,P1.11,Kruising,1,8166,950,8163,30,N200,4410
GEO02_Z_RWSTRN285,Nog niet gegenereerd,,52.384,4.75374,52.3861,4.7443,negative,N200,5.11,A,8162,1020,P1.11,Kruising,1,8162,1020,8163,60,N200,700
GEO02_Z_RWSTRN286,Nog niet gegenereerd,,52.3861,4.74128,52.3838,4.75552,positive,N200,5.11,A,8164,55,P1.3,Afrit,1,8164,55,8162,720,N200,1020
RWS01_MONIBAS_0010vwe0083ra0,Nog niet gegenereerd,,52.3295,5.00511,52.3244,5.0047,positive,A1,5.11,A,7005,0,P1.14,Verbindingsweg,1,10563,1850,7005,650,A9,1010
