date,hour,dataType,dateID
2016-06-10,10,Road,679
2016-06-10,10,Flow,680
2016-06-10,10,Speed,681
2016-06-10,11,Road,682
2016-06-10,11,Flow,683
2016-06-10,11,Speed,684
2016-06-10,12,Road,685
2016-06-10,12,Flow,686
2016-06-10,12,Speed,687
2016-06-10,13,Road,688
2016-06-10,13,Flow,689
2016-06-10,13,Speed,690
2016-06-10,14,Road,691
2016-06-10,14,Flow,692
2016-06-10,14,Speed,693
2016-06-10,15,Road,694
2016-06-10,15,Flow,695
2016-06-10,15,Speed,696
2016-06-10,16,Road,697
2016-06-10,16,Flow,698
2016-06-10,16,Speed,699
2016-06-10,17,Road,700
2016-06-10,17,Flow,701
2016-06-10,17,Speed,702
2016-06-10,18,Road,703
2016-06-10,18,Flow,704
2016-06-10,18,Speed,705
2016-06-10,19,Road,706
2016-06-10,19,Flow,707
2016-06-10,19,Speed,708
2016-06-10,20,Road,709
2016-06-10,20,Flow,710
2016-06-10,20,Speed,711
2016-06-10,21,Road,712
2016-06-10,21,Flow,713
2016-06-10,21,Speed,714
2016-06-10,22,Road,715
2016-06-10,22,Flow,716
2016-06-10,22,Speed,717
2016-06-10,23,Road,718
2016-06-10,23,Flow,719
2016-06-10,23,Speed,720
2016-06-11,00,Road,721
2016-06-11,00,Flow,722
2016-06-11,00,Speed,723
2016-06-11,01,Road,724
2016-06-11,01,Flow,725
2016-06-11,01,Speed,726
2016-06-11,02,Road,727
2016-06-11,02,Flow,728
2016-06-11,02,Speed,729
2016-06-11,03,Road,730
2016-06-11,03,Flow,731
2016-06-11,03,Speed,732
2016-06-11,04,Road,733
2016-06-11,04,Flow,734
2016-06-11,04,Speed,735
2016-06-11,05,Road,736
2016-06-11,05,Flow,737
2016-06-11,05,Speed,738
2016-06-11,06,Road,739
2016-06-11,06,Flow,740
2016-06-11,06,Speed,741
2016-06-11,07,Road,742
2016-06-11,07,Flow,743
2016-06-11,07,Speed,744
2016-06-11,08,Road,745
2016-06-11,08,Flow,746
2016-06-11,08,Speed,747
2016-06-11,09,Road,748
2016-06-11,09,Flow,749
2016-06-11,09,Speed,750
2016-06-11,10,Road,751
2016-06-11,10,Flow,752
2016-06-11,10,Speed,753
2016-06-11,11,Road,754
2016-06-11,11,Flow,755
2016-06-11,11,Speed,756
2016-06-11,12,Road,757
2016-06-11,12,Flow,758
2016-06-11,12,Speed,759
2016-06-11,13,Road,760
2016-06-11,13,Flow,761
2016-06-11,13,Speed,762
2016-06-11,14,Road,763
2016-06-11,14,Flow,764
2016-06-11,14,Speed,765
2016-06-11,15,Road,766
2016-06-11,15,Flow,767
2016-06-11,15,Speed,768
2016-06-11,16,Road,769
2016-06-11,16,Flow,770
2016-06-11,16,Speed,771
2016-06-11,17,Road,772
2016-06-11,17,Flow,773
2016-06-11,17,Speed,774
2016-06-11,18,Road,775
2016-06-11,18,Flow,776
2016-06-11,18,Speed,777
2016-06-11,19,Road,778
2016-06-11,19,Flow,779
2016-06-11,19,Speed,780
2016-06-11,20,Road,781
2016-06-11,20,Flow,782
2016-06-11,20,Speed,783
2016-06-11,21,Road,784
2016-06-11,21,Flow,785
2016-06-11,21,Speed,786
2016-06-11,22,Road,787
2016-06-11,22,Flow,788
2016-06-11,22,Speed,789
2016-06-11,23,Road,790
2016-06-11,23,Flow,791
