flowID,date,avg_flow,week_day,ref_flowID_dayWeek,ref_flowID_dayWeek_hourDay,dif_flowID_dayWeek,dif_flowID_dayWeek_hourDay
84,2016-07-18-17,1200,Monday,496.872889514047,1416.85714285714,703.127110485953,-216.857142857143
84,2016-07-18-18,875,Monday,496.872889514047,948.571428571429,378.127110485953,-73.5714285714286
84,2016-07-18-19,490.169491525424,Monday,496.872889514047,537.192177479955,-6.7033979886229,-47.0226859545311
84,2016-07-18-20,382,Monday,496.872889514047,378.150121065375,-114.872889514047,3.84987893462471
84,2016-07-18-21,307,Monday,496.872889514047,328.285714285714,-189.872889514047,-21.2857142857143
84,2016-07-18-22,303,Monday,496.872889514047,284.228437839192,-193.872889514047,18.7715621608082
84,2016-07-18-23,195.254237288136,Monday,496.872889514047,218.5634659413,-301.618652225911,-23.3092286531642
90,2016-07-18-16,168.888888888889,Monday,172.869298734688,164.842885408377,-3.98040984579879,4.04600348051221
90,2016-07-18-17,117.551020408163,Monday,172.869298734688,142.029480357794,-55.3182783265244,-24.4784599496306
90,2016-07-18-18,135.483870967742,Monday,172.869298734688,116.758263237383,-37.3854277669458,18.7256077303587
90,2016-07-18-19,103.846153846154,Monday,172.869298734688,95.229123709037,-69.0231448885338,8.61703013711687
90,2016-07-18-20,77.1428571428571,Monday,172.869298734688,82.4350267254811,-95.7264415918305,-5.29216958262398
90,2016-07-18-21,70.3448275862069,Monday,172.869298734688,79.4885075515617,-102.524471148481,-9.14367996535485
90,2016-07-18-22,84.5454545454546,Monday,172.869298734688,74.6192754613807,-88.3238441892331,9.92617908407382
90,2016-07-18-23,60,Monday,172.869298734688,66.3571428571429,-112.869298734688,-6.35714285714286
96,2016-07-18-16,677.41935483871,Monday,477.264215125953,675.774193548387,200.155139712757,1.64516129032256
96,2016-07-18-17,583,Monday,477.264215125953,615.285714285714,105.735784874047,-32.2857142857143
96,2016-07-18-18,451,Monday,477.264215125953,461.285714285714,-26.2642151259529,-10.2857142857143
96,2016-07-18-19,353,Monday,477.264215125953,374.890513268711,-124.264215125953,-21.8905132687113
96,2016-07-18-20,332.542372881356,Monday,477.264215125953,336.598563914169,-144.721842244597,-4.05619103281288
96,2016-07-18-21,303,Monday,477.264215125953,290.774818401937,-174.264215125953,12.2251815980629
96,2016-07-18-22,267.931034482759,Monday,477.264215125953,241.973783084245,-209.333180643194,25.9572513985138
96,2016-07-18-23,148.301886792453,Monday,477.264215125953,164.297913080552,-328.9623283335,-15.9960262880994
102,2016-07-18-16,141.428571428571,Monday,101.356393498828,126.837643659614,40.0721779297436,14.590927768957
102,2016-07-18-17,117.692307692308,Monday,101.356393498828,156.064801334593,16.3359141934799,-38.3724936422858
102,2016-07-18-18,84,Monday,101.356393498828,106.096474953618,-17.3563934988278,-22.0964749536178
102,2016-07-18-19,72,Monday,101.356393498828,75.468031968032,-29.3563934988278,-3.46803196803197
102,2016-07-18-20,60,Monday,101.356393498828,60,-41.3563934988278,0
102,2016-07-18-21,70,Monday,101.356393498828,63.7244897959184,-31.3563934988278,6.27551020408163
102,2016-07-18-22,80,Monday,101.356393498828,69.9167974882261,-21.3563934988278,10.0832025117739
102,2016-07-18-23,60,Monday,101.356393498828,60,-41.3563934988278,0
108,2016-07-18-16,270,Monday,162.046706231293,246.667933130699,107.953293768707,23.3320668693009
108,2016-07-18-17,213.191489361702,Monday,162.046706231293,287.667244826385,51.1447831304091,-74.4757554646829
108,2016-07-18-18,140.487804878049,Monday,162.046706231293,176.199019836995,-21.5589013532442,-35.7112149589461
108,2016-07-18-19,118.378378378378,Monday,162.046706231293,119.777635302117,-43.6683278529146,-1.39925692373886
108,2016-07-18-20,96,Monday,162.046706231293,94.191041934015,-66.046706231293,1.80895806598501
108,2016-07-18-21,92.1428571428571,Monday,162.046706231293,86.6503175557273,-69.9038490884359,5.49253958712984
108,2016-07-18-22,89.1428571428572,Monday,162.046706231293,84.4210075638647,-72.9038490884359,4.72184957899243
108,2016-07-18-23,67.8260869565217,Monday,162.046706231293,72.777832301729,-94.2206192747713,-4.95174534520726
114,2016-07-18-16,336,Monday,226.689182339872,351.903589021816,109.310817660128,-15.9035890218156
114,2016-07-18-17,348.620689655172,Monday,226.689182339872,388.534774985389,121.9315073153,-39.9140853302162
114,2016-07-18-18,227.796610169492,Monday,226.689182339872,269.603594289374,1.10742782961924,-41.8069841198821
114,2016-07-18-19,216.470588235294,Monday,226.689182339872,218.779765813822,-10.2185941045782,-2.30917757852743
114,2016-07-18-20,186.923076923077,Monday,226.689182339872,178.873977929181,-39.7661054167953,8.04909899389583
114,2016-07-18-21,164.727272727273,Monday,226.689182339872,166.354257492165,-61.9619096125996,-1.6269847648918
114,2016-07-18-22,144,Monday,226.689182339872,130.961186873202,-82.6891823398723,13.0388131267981
114,2016-07-18-23,90.8571428571429,Monday,226.689182339872,100.116811759669,-135.832039482729,-9.25966890252604
120,2016-07-18-16,142.5,Monday,935.226737007596,1958.89939370974,-792.726737007596,-1816.39939370974
120,2016-07-18-17,137.368421052632,Monday,935.226737007596,1780.24743677375,-797.858315954964,-1642.87901572112
120,2016-07-18-18,86.6666666666667,Monday,935.226737007596,1777.19437624522,-848.560070340929,-1690.52770957856
120,2016-07-18-19,84,Monday,935.226737007596,1492.33014926962,-851.226737007596,-1408.33014926962
120,2016-07-18-20,77.1428571428571,Monday,935.226737007596,1146.57459535538,-858.083879864739,-1069.43173821253
120,2016-07-18-21,60,Monday,935.226737007596,449.634899583176,-875.226737007596,-389.634899583176
120,2016-07-18-22,60,Monday,935.226737007596,384.571428571429,-875.226737007596,-324.571428571429
120,2016-07-18-23,75,Monday,935.226737007596,364.333333333333,-860.226737007596,-289.333333333333
126,2016-07-18-16,328.965517241379,Monday,166.555274771927,348.662344054174,162.410242469452,-19.6968268127947
126,2016-07-18-17,369.473684210526,Monday,166.555274771927,433.062576077833,202.918409438599,-63.5888918673071
126,2016-07-18-18,203.77358490566,Monday,166.555274771927,223.017920791907,37.2183101337334,-19.2443358862467
126,2016-07-18-19,134.634146341463,Monday,166.555274771927,130.838162911464,-31.9211284304636,3.79598342999961
126,2016-07-18-20,131.612903225806,Monday,166.555274771927,107.390425323602,-34.9423715461205,24.2224779022044
126,2016-07-18-21,114.545454545455,Monday,166.555274771927,111.827410684554,-52.0098202264724,2.71804386090101
126,2016-07-18-22,105,Monday,166.555274771927,92.0638981066053,-61.555274771927,12.9361018933947
126,2016-07-18-23,73.0434782608696,Monday,166.555274771927,77.1250587191398,-93.5117965110574,-4.08158045827027
132,2016-07-18-16,470,Monday,245.97194745727,475.428571428571,224.02805254273,-5.42857142857145
132,2016-07-18-17,516,Monday,245.97194745727,570.428571428572,270.02805254273,-54.4285714285715
132,2016-07-18-18,363.103448275862,Monday,245.97194745727,370.474317002325,117.131500818592,-7.37086872646256
132,2016-07-18-19,262.105263157895,Monday,245.97194745727,254.926639670007,16.1333157006247,7.17862348788773
132,2016-07-18-20,204.406779661017,Monday,245.97194745727,205.213890419157,-41.5651677962532,-0.807110758139714
132,2016-07-18-21,193.684210526316,Monday,245.97194745727,190.980821478389,-52.2877369309543,2.70338904792686
132,2016-07-18-22,158.490566037736,Monday,245.97194745727,158.792304800708,-87.4813814195342,-0.30173876297232
132,2016-07-18-23,95.7142857142857,Monday,245.97194745727,105.330624659249,-150.257661742984,-9.61633894496325
138,2016-07-18-16,432.857142857143,Monday,205.822989762925,426.287269436941,227.034153094218,6.56987342020142
138,2016-07-18-17,454.444444444444,Monday,205.822989762925,518.828714007739,248.62145468152,-64.3842695632948
138,2016-07-18-18,259.2,Monday,205.822989762925,298.168395564918,53.3770102370754,-38.9683955649184
138,2016-07-18-19,178.723404255319,Monday,205.822989762925,173.572138278568,-27.0995855076055,5.15126597675067
138,2016-07-18-20,134.21052631579,Monday,205.822989762925,143.451235462213,-71.6124634471351,-9.24070914642334
138,2016-07-18-21,128.181818181818,Monday,205.822989762925,136.829635743733,-77.6411715811064,-8.64781756191465
138,2016-07-18-22,130.243902439024,Monday,205.822989762925,112.806597564887,-75.5790873239002,17.4373048741375
138,2016-07-18-23,90.9677419354839,Monday,205.822989762925,95.3339320761725,-114.855247827441,-4.36619014068864
144,2016-07-18-16,272.903225806452,Monday,190.468589033395,296.583152655493,82.4346367730571,-23.6799268490414
144,2016-07-18-17,244.06779661017,Monday,190.468589033395,280.432144065599,53.599207576775,-36.3643474554299
144,2016-07-18-18,212.830188679245,Monday,190.468589033395,240.413557660759,22.3615996458508,-27.5833689815142
